Time0,Longitude0,Latitude0,Magnitude0,Time1,Longitude1,Latitude1,Magnitude1,Time2,Longitude2,Latitude2,Magnitude2,Time3,Longitude3,Latitude3,Magnitude3,Time4,Longitude4,Latitude4,Magnitude4,Time5
1627804398.0,128.457,26.6916,4.4,1627825829.0,139.758,34.4672,4.3,1627863095.0,122.6178,23.085,4.2,1627864647.0,133.0453,35.0453,4.4,1627874938.0,148.3143,44.1569,5.3,1627881759.0
1627914005.0,149.4017,44.8086,4.8,1627916030.0,146.4946,44.2797,4.2,1627918532.0,141.8431,36.1783,4.7,1627940352.0,141.9017,36.2416,4.4,1627949131.0,121.9372,24.9352,4.2,1627965539.0
1627970571.0,141.8978,36.2176,4.5,1627975703.0,141.9275,36.1727,4.6,1627981018.0,137.0409,33.0535,4.0,1627986557.0,141.9343,36.1948,5.0,1627987198.0,142.1782,36.1162,4.4,1627987659.0
1627989405.0,142.0747,36.1887,4.6,1627989831.0,147.5807,44.1552,4.3,1627994272.0,141.9864,36.8907,4.5,1627996820.0,142.2019,37.3504,4.7,1628022814.0,142.1045,36.0981,5.8,1628023037.0
1628023142.0,141.9013,36.2381,4.9,1628023369.0,141.9301,36.2148,4.7,1628023390.0,142.1001,36.1397,5.2,1628023808.0,142.3469,36.1692,4.5,1628024006.0,141.7489,36.3955,4.4,1628024031.0
1628024321.0,142.3022,36.1542,4.2,1628024631.0,142.1031,36.2211,4.1,1628024672.0,142.1689,36.0787,4.5,1628025476.0,142.0744,36.2494,4.4,1628028654.0,142.0719,36.1428,4.9,1628030946.0
1628038412.0,142.2197,36.077,4.4,1628039043.0,141.9568,36.1619,4.3,1628039398.0,141.9604,36.2281,4.3,1628039526.0,141.9541,36.2756,4.2,1628042205.0,142.1333,36.1722,4.3,1628043088.0
1628044371.0,141.8218,36.15,4.1,1628045784.0,141.9935,36.2425,4.8,1628046337.0,142.0519,36.258,4.8,1628050311.0,142.3371,36.1826,4.6,1628052025.0,141.8625,36.1778,5.4,1628053372.0
1628057306.0,141.8615,36.2078,4.8,1628057694.0,141.9808,36.1777,4.8,1628067802.0,141.2449,36.8278,4.5,1628068848.0,142.1607,36.2094,4.2,1628069201.0,141.8954,36.2366,4.8,1628072907.0
1628078258.0,142.529,35.8782,4.2,1628087036.0,141.3199,36.6575,4.3,1628087502.0,143.4106,22.2367,4.2,1628088578.0,141.7764,32.6158,4.4,1628113846.0,122.3105,24.7827,5.8,1628114004.0
1628114187.0,122.2717,24.7534,5.1,1628119693.0,122.3945,24.7973,4.3,1628129648.0,122.9043,24.3588,4.4,1628197812.0,141.5916,36.2666,4.5,1628212733.0,147.664,44.5283,4.2,1628237464.0
1628248349.0,121.3586,23.1108,5.2,1628249952.0,121.3694,23.1525,4.6,1628267450.0,141.1684,38.6621,4.5,1628315039.0,122.2968,24.7034,4.4,1628403361.0,142.0761,41.4144,4.0,1628415452.0
