,Time0,Longitude0,Latitude0,Magnitude0,Time1,Longitude1,Latitude1,Magnitude1,Time2,Longitude2,Latitude2,Magnitude2,Time3,Longitude3,Latitude3,Magnitude3,Time4,Longitude4,Latitude4,Magnitude4,Time5
26,1518051256460,121.6705,23.9027,4.8,1518051256460,121.6705,23.9027,4.8,1518051256460.0,121.6705,23.9027,4.8,1518051256460.0,121.6705,23.9027,4.8,1518051256460.0,121.6705,23.9027,4.8,1518051256460.0
27,1518051568130,121.5947,23.9445,4.5,1518051568130,121.5947,23.9445,4.5,1518051568130.0,121.5947,23.9445,4.5,1518051568130.0,121.5947,23.9445,4.5,1518051568130.0,121.5947,23.9445,4.5,1518051568130.0
28,1518053632240,146.8038,42.6717,4.5,1518053632240,146.8038,42.6717,4.5,1518053632240.0,146.8038,42.6717,4.5,1518053632240.0,146.8038,42.6717,4.5,1518053632240.0,146.8038,42.6717,4.5,1518053632240.0
29,1518059163350,121.651,23.9143,4.7,1518059163350,121.651,23.9143,4.7,1518059163350.0,121.651,23.9143,4.7,1518059163350.0,121.651,23.9143,4.7,1518059163350.0,121.651,23.9143,4.7,1518059163350.0
30,1519015251560,142.7464,42.0374,4.2,1519015251560,142.7464,42.0374,4.2,1519015251560.0,142.7464,42.0374,4.2,1519015251560.0,142.7464,42.0374,4.2,1519015251560.0,142.7464,42.0374,4.2,1519015251560.0
31,1519019991090,144.4383,22.6293,4.6,1519019991090,144.4383,22.6293,4.6,1519019991090.0,144.4383,22.6293,4.6,1519019991090.0,144.4383,22.6293,4.6,1519019991090.0,144.4383,22.6293,4.6,1519019991090.0
32,1519033734700,141.5195,36.725,4.4,1519033734700,141.5195,36.725,4.4,1519033734700.0,141.5195,36.725,4.4,1519033734700.0,141.5195,36.725,4.4,1519033734700.0,141.5195,36.725,4.4,1519033734700.0
33,1519051621420,121.6247,24.578,5.0,1519051621420,121.6247,24.578,5.0,1519051621420.0,121.6247,24.578,5.0,1519051621420.0,121.6247,24.578,5.0,1519051621420.0,121.6247,24.578,5.0,1519051621420.0
34,1519114853680,142.6645,28.872,4.5,1519114853680,142.6645,28.872,4.5,1519114853680.0,142.6645,28.872,4.5,1519114853680.0,142.6645,28.872,4.5,1519114853680.0,142.6645,28.872,4.5,1519114853680.0
35,1519204196950,142.7726,42.3526,4.0,1519204196950,142.7726,42.3526,4.0,1519204196950.0,142.7726,42.3526,4.0,1519204196950.0,142.7726,42.3526,4.0,1519204196950.0,142.7726,42.3526,4.0,1519204196950.0
36,1520231490480,140.1719,35.5689,4.4,1520231490480,140.1719,35.5689,4.4,1520231490480.0,140.1719,35.5689,4.4,1520231490480.0,140.1719,35.5689,4.4,1520231490480.0,140.1719,35.5689,4.4,1520231490480.0
37,1520247604140,142.1344,29.8056,4.9,1520247604140,142.1344,29.8056,4.9,1520247604140.0,142.1344,29.8056,4.9,1520247604140.0,142.1344,29.8056,4.9,1520247604140.0,142.1344,29.8056,4.9,1520247604140.0
38,1520267204600,136.1059,36.4655,4.3,1520267204600,136.1059,36.4655,4.3,1520267204600.0,136.1059,36.4655,4.3,1520267204600.0,136.1059,36.4655,4.3,1520267204600.0,136.1059,36.4655,4.3,1520267204600.0
39,1520288384960,142.3878,29.7601,4.6,1520288384960,142.3878,29.7601,4.6,1520288384960.0,142.3878,29.7601,4.6,1520288384960.0,142.3878,29.7601,4.6,1520288384960.0,142.3878,29.7601,4.6,1520288384960.0
40,1520289450670,141.9978,29.7715,4.7,1520289450670,141.9978,29.7715,4.7,1520289450670.0,141.9978,29.7715,4.7,1520289450670.0,141.9978,29.7715,4.7,1520289450670.0,141.9978,29.7715,4.7,1520289450670.0
41,1520297494580,147.4735,43.825,4.6,1520297494580,147.4735,43.825,4.6,1520297494580.0,147.4735,43.825,4.6,1520297494580.0,147.4735,43.825,4.6,1520297494580.0,147.4735,43.825,4.6,1520297494580.0
42,1521616027010,144.0492,39.0663,4.3,1521616027010,144.0492,39.0663,4.3,1521616027010.0,144.0492,39.0663,4.3,1521616027010.0,144.0492,39.0663,4.3,1521616027010.0,144.0492,39.0663,4.3,1521616027010.0
43,1521649134460,141.1711,29.538,4.4,1521649134460,141.1711,29.538,4.4,1521649134460.0,141.1711,29.538,4.4,1521649134460.0,141.1711,29.538,4.4,1521649134460.0,141.1711,29.538,4.4,1521649134460.0
44,1521674106500,141.4544,42.2748,4.5,1521674106500,141.4544,42.2748,4.5,1521674106500.0,141.4544,42.2748,4.5,1521674106500.0,141.4544,42.2748,4.5,1521674106500.0,141.4544,42.2748,4.5,1521674106500.0
45,1521688998730,125.7219,23.4113,4.6,1521688998730,125.7219,23.4113,4.6,1521688998730.0,125.7219,23.4113,4.6,1521688998730.0,125.7219,23.4113,4.6,1521688998730.0,125.7219,23.4113,4.6,1521688998730.0
46,1521754340580,142.1143,38.8556,4.8,1521754340580,142.1143,38.8556,4.8,1521754340580.0,142.1143,38.8556,4.8,1521754340580.0,142.1143,38.8556,4.8,1521754340580.0,142.1143,38.8556,4.8,1521754340580.0
47,1521801291740,138.8275,43.3806,4.2,1521801291740,138.8275,43.3806,4.2,1521801291740.0,138.8275,43.3806,4.2,1521801291740.0,138.8275,43.3806,4.2,1521801291740.0,138.8275,43.3806,4.2,1521801291740.0
48,1522696221010,131.1771,30.0222,4.8,1522696221010,131.1771,30.0222,4.8,1522696221010.0,131.1771,30.0222,4.8,1522696221010.0,131.1771,30.0222,4.8,1522696221010.0,131.1771,30.0222,4.8,1522696221010.0
49,1522699136460,131.1891,29.9493,4.6,1522699136460,131.1891,29.9493,4.6,1522699136460.0,131.1891,29.9493,4.6,1522699136460.0,131.1891,29.9493,4.6,1522699136460.0,131.1891,29.9493,4.6,1522699136460.0
50,1522701824780,142.0858,26.7925,4.3,1522701824780,142.0858,26.7925,4.3,1522701824780.0,142.0858,26.7925,4.3,1522701824780.0,142.0858,26.7925,4.3,1522701824780.0,142.0858,26.7925,4.3,1522701824780.0
51,1522737901630,142.1438,26.6513,4.4,1522737901630,142.1438,26.6513,4.4,1522737901630.0,142.1438,26.6513,4.4,1522737901630.0,142.1438,26.6513,4.4,1522737901630.0,142.1438,26.6513,4.4,1522737901630.0
52,1522746568670,126.8807,27.5464,4.5,1522746568670,126.8807,27.5464,4.5,1522746568670.0,126.8807,27.5464,4.5,1522746568670.0,126.8807,27.5464,4.5,1522746568670.0,126.8807,27.5464,4.5,1522746568670.0
53,1522757170890,140.7648,36.7802,4.1,1522757170890,140.7648,36.7802,4.1,1522757170890.0,140.7648,36.7802,4.1,1522757170890.0,140.7648,36.7802,4.1,1522757170890.0,140.7648,36.7802,4.1,1522757170890.0
54,1523591152310,143.2679,39.8205,4.7,1523591152310,143.2679,39.8205,4.7,1523591152310.0,143.2679,39.8205,4.7,1523591152310.0,143.2679,39.8205,4.7,1523591152310.0,143.2679,39.8205,4.7,1523591152310.0
55,1523646000530,145.8728,43.1867,5.2,1523646000530,145.8728,43.1867,5.2,1523646000530.0,145.8728,43.1867,5.2,1523646000530.0,145.8728,43.1867,5.2,1523646000530.0,145.8728,43.1867,5.2,1523646000530.0
56,1523653053840,142.6862,25.5686,4.5,1523653053840,142.6862,25.5686,4.5,1523653053840.0,142.6862,25.5686,4.5,1523653053840.0,142.6862,25.5686,4.5,1523653053840.0,142.6862,25.5686,4.5,1523653053840.0
57,1523686408860,137.1366,34.8484,4.5,1523686408860,137.1366,34.8484,4.5,1523686408860.0,137.1366,34.8484,4.5,1523686408860.0,137.1366,34.8484,4.5,1523686408860.0,137.1366,34.8484,4.5,1523686408860.0
58,1523729251410,148.1026,44.5751,4.3,1523729251410,148.1026,44.5751,4.3,1523729251410.0,148.1026,44.5751,4.3,1523729251410.0,148.1026,44.5751,4.3,1523729251410.0,148.1026,44.5751,4.3,1523729251410.0
59,1523751044050,143.0243,23.4624,5.2,1523751044050,143.0243,23.4624,5.2,1523751044050.0,143.0243,23.4624,5.2,1523751044050.0,143.0243,23.4624,5.2,1523751044050.0,143.0243,23.4624,5.2,1523751044050.0
60,1524844742410,123.7417,24.2894,4.2,1524844742410,123.7417,24.2894,4.2,1524844742410.0,123.7417,24.2894,4.2,1524844742410.0,123.7417,24.2894,4.2,1524844742410.0,123.7417,24.2894,4.2,1524844742410.0
61,1524881544810,141.6971,38.4281,4.2,1524881544810,141.6971,38.4281,4.2,1524881544810.0,141.6971,38.4281,4.2,1524881544810.0,141.6971,38.4281,4.2,1524881544810.0,141.6971,38.4281,4.2,1524881544810.0
62,1524889634490,132.1058,31.7679,4.5,1524889634490,132.1058,31.7679,4.5,1524889634490.0,132.1058,31.7679,4.5,1524889634490.0,132.1058,31.7679,4.5,1524889634490.0,132.1058,31.7679,4.5,1524889634490.0
63,1524906924230,148.0946,44.7718,4.6,1524906924230,148.0946,44.7718,4.6,1524906924230.0,148.0946,44.7718,4.6,1524906924230.0,148.0946,44.7718,4.6,1524906924230.0,148.0946,44.7718,4.6,1524906924230.0
64,1524971378450,141.9928,39.3218,4.3,1524971378450,141.9928,39.3218,4.3,1524971378450.0,141.9928,39.3218,4.3,1524971378450.0,141.9928,39.3218,4.3,1524971378450.0,141.9928,39.3218,4.3,1524971378450.0
65,1524985356680,121.1834,22.2974,4.1,1524985356680,121.1834,22.2974,4.1,1524985356680.0,121.1834,22.2974,4.1,1524985356680.0,121.1834,22.2974,4.1,1524985356680.0,121.1834,22.2974,4.1,1524985356680.0
66,1526088569810,137.9022,36.643,5.1,1526088569810,137.9022,36.643,5.1,1526088569810.0,137.9022,36.643,5.1,1526088569810.0,137.9022,36.643,5.1,1526088569810.0,137.9022,36.643,5.1,1526088569810.0
67,1526096914030,144.3008,42.5367,4.5,1526096914030,144.3008,42.5367,4.5,1526096914030.0,144.3008,42.5367,4.5,1526096914030.0,144.3008,42.5367,4.5,1526096914030.0,144.3008,42.5367,4.5,1526096914030.0
68,1526098666310,121.6949,23.8106,4.5,1526098666310,121.6949,23.8106,4.5,1526098666310.0,121.6949,23.8106,4.5,1526098666310.0,121.6949,23.8106,4.5,1526098666310.0,121.6949,23.8106,4.5,1526098666310.0
69,1526143777350,141.9287,38.4847,5.0,1526143777350,141.9287,38.4847,5.0,1526143777350.0,141.9287,38.4847,5.0,1526143777350.0,141.9287,38.4847,5.0,1526143777350.0,141.9287,38.4847,5.0,1526143777350.0
70,1526186649670,142.1584,29.7061,4.3,1526186649670,142.1584,29.7061,4.3,1526186649670.0,142.1584,29.7061,4.3,1526186649670.0,142.1584,29.7061,4.3,1526186649670.0,142.1584,29.7061,4.3,1526186649670.0
71,1526220227440,135.9042,33.6599,4.2,1526220227440,135.9042,33.6599,4.2,1526220227440.0,135.9042,33.6599,4.2,1526220227440.0,135.9042,33.6599,4.2,1526220227440.0,135.9042,33.6599,4.2,1526220227440.0
72,1527454839880,148.1736,44.4485,4.4,1527454839880,148.1736,44.4485,4.4,1527454839880.0,148.1736,44.4485,4.4,1527454839880.0,148.1736,44.4485,4.4,1527454839880.0,148.1736,44.4485,4.4,1527454839880.0
73,1527461284260,142.0546,28.483,4.6,1527461284260,142.0546,28.483,4.6,1527461284260.0,142.0546,28.483,4.6,1527461284260.0,142.0546,28.483,4.6,1527461284260.0,142.0546,28.483,4.6,1527461284260.0
74,1527522424440,141.869,38.3019,4.6,1527522424440,141.869,38.3019,4.6,1527522424440.0,141.869,38.3019,4.6,1527522424440.0,141.869,38.3019,4.6,1527522424440.0,141.869,38.3019,4.6,1527522424440.0
75,1527556687520,147.1476,43.898,4.3,1527556687520,147.1476,43.898,4.3,1527556687520.0,147.1476,43.898,4.3,1527556687520.0,147.1476,43.898,4.3,1527556687520.0,147.1476,43.898,4.3,1527556687520.0
76,1527571504550,138.0832,33.1489,4.1,1527571504550,138.0832,33.1489,4.1,1527571504550.0,138.0832,33.1489,4.1,1527571504550.0,138.0832,33.1489,4.1,1527571504550.0,138.0832,33.1489,4.1,1527571504550.0
77,1527572921480,144.6454,41.9182,4.4,1527572921480,144.6454,41.9182,4.4,1527572921480.0,144.6454,41.9182,4.4,1527572921480.0,144.6454,41.9182,4.4,1527572921480.0,144.6454,41.9182,4.4,1527572921480.0
78,1528552247690,138.5732,35.2969,3.3,1528552247690,138.5732,35.2969,3.3,1528552247690.0,138.5732,35.2969,3.3,1528552247690.0,138.5732,35.2969,3.3,1528552247690.0,138.5732,35.2969,3.3,1528552247690.0
79,1528580750660,145.9304,43.8243,4.7,1528580750660,145.9304,43.8243,4.7,1528580750660.0,145.9304,43.8243,4.7,1528580750660.0,145.9304,43.8243,4.7,1528580750660.0,145.9304,43.8243,4.7,1528580750660.0
80,1528618700390,120.5403,23.5911,3.1,1528618700390,120.5403,23.5911,3.1,1528618700390.0,120.5403,23.5911,3.1,1528618700390.0,120.5403,23.5911,3.1,1528618700390.0,120.5403,23.5911,3.1,1528618700390.0
81,1528642519590,143.3872,27.2865,5.0,1528642519590,143.3872,27.2865,5.0,1528642519590.0,143.3872,27.2865,5.0,1528642519590.0,143.3872,27.2865,5.0,1528642519590.0,143.3872,27.2865,5.0,1528642519590.0
82,1528643472540,141.7486,26.9913,4.4,1528643472540,141.7486,26.9913,4.4,1528643472540.0,141.7486,26.9913,4.4,1528643472540.0,141.7486,26.9913,4.4,1528643472540.0,141.7486,26.9913,4.4,1528643472540.0
83,1528644340560,131.3552,30.4455,4.5,1528644340560,131.3552,30.4455,4.5,1528644340560.0,131.3552,30.4455,4.5,1528644340560.0,131.3552,30.4455,4.5,1528644340560.0,131.3552,30.4455,4.5,1528644340560.0
84,1529422171550,145.114,41.2924,4.6,1529422171550,145.114,41.2924,4.6,1529422171550.0,145.114,41.2924,4.6,1529422171550.0,145.114,41.2924,4.6,1529422171550.0,145.114,41.2924,4.6,1529422171550.0
85,1529522336240,122.2701,24.0287,4.7,1529522336240,122.2701,24.0287,4.7,1529522336240.0,122.2701,24.0287,4.7,1529522336240.0,122.2701,24.0287,4.7,1529522336240.0,122.2701,24.0287,4.7,1529522336240.0
86,1529564009240,140.1556,35.0883,4.2,1529564009240,140.1556,35.0883,4.2,1529564009240.0,140.1556,35.0883,4.2,1529564009240.0,140.1556,35.0883,4.2,1529564009240.0,140.1556,35.0883,4.2,1529564009240.0
87,1529631302330,141.91,24.5875,4.4,1529631302330,141.91,24.5875,4.4,1529631302330.0,141.91,24.5875,4.4,1529631302330.0,141.91,24.5875,4.4,1529631302330.0,141.91,24.5875,4.4,1529631302330.0
88,1529632022010,138.8838,34.5649,4.4,1529632022010,138.8838,34.5649,4.4,1529632022010.0,138.8838,34.5649,4.4,1529632022010.0,138.8838,34.5649,4.4,1529632022010.0,138.8838,34.5649,4.4,1529632022010.0
89,1529762926420,135.6707,34.8275,3.9,1529762926420,135.6707,34.8275,3.9,1529762926420.0,135.6707,34.8275,3.9,1529762926420.0,135.6707,34.8275,3.9,1529762926420.0,135.6707,34.8275,3.9,1529762926420.0
90,1530532401290,142.7104,41.2557,5.2,1530532401290,142.7104,41.2557,5.2,1530532401290.0,142.7104,41.2557,5.2,1530532401290.0,142.7104,41.2557,5.2,1530532401290.0,142.7104,41.2557,5.2,1530532401290.0
91,1530538754210,137.1768,33.7751,4.4,1530538754210,137.1768,33.7751,4.4,1530538754210.0,137.1768,33.7751,4.4,1530538754210.0,137.1768,33.7751,4.4,1530538754210.0,137.1768,33.7751,4.4,1530538754210.0
92,1530565086370,139.411,29.1115,3.9,1530565086370,139.411,29.1115,3.9,1530565086370.0,139.411,29.1115,3.9,1530565086370.0,139.411,29.1115,3.9,1530565086370.0,139.411,29.1115,3.9,1530565086370.0
93,1530609657510,120.923,23.2476,4.6,1530609657510,120.923,23.2476,4.6,1530609657510.0,120.923,23.2476,4.6,1530609657510.0,120.923,23.2476,4.6,1530609657510.0,120.923,23.2476,4.6,1530609657510.0
94,1530613629400,126.3859,23.5722,4.0,1530613629400,126.3859,23.5722,4.0,1530613629400.0,126.3859,23.5722,4.0,1530613629400.0,126.3859,23.5722,4.0,1530613629400.0,126.3859,23.5722,4.0,1530613629400.0
95,1530617928190,132.0448,32.4682,4.5,1530617928190,132.0448,32.4682,4.5,1530617928190.0,132.0448,32.4682,4.5,1530617928190.0,132.0448,32.4682,4.5,1530617928190.0,132.0448,32.4682,4.5,1530617928190.0
96,1531350085300,143.4563,39.9765,4.3,1531350085300,143.4563,39.9765,4.3,1531350085300.0,143.4563,39.9765,4.3,1531350085300.0,143.4563,39.9765,4.3,1531350085300.0,143.4563,39.9765,4.3,1531350085300.0
97,1531354303540,137.792,31.9962,4.2,1531354303540,137.792,31.9962,4.2,1531354303540.0,137.792,31.9962,4.2,1531354303540.0,137.792,31.9962,4.2,1531354303540.0,137.792,31.9962,4.2,1531354303540.0
98,1531355881130,143.8291,23.5443,5.0,1531355881130,143.8291,23.5443,5.0,1531355881130.0,143.8291,23.5443,5.0,1531355881130.0,143.8291,23.5443,5.0,1531355881130.0,143.8291,23.5443,5.0,1531355881130.0
99,1531357596500,142.835,26.9673,4.4,1531357596500,142.835,26.9673,4.4,1531357596500.0,142.835,26.9673,4.4,1531357596500.0,142.835,26.9673,4.4,1531357596500.0,142.835,26.9673,4.4,1531357596500.0
100,1531359283260,143.7539,23.6109,4.4,1531359283260,143.7539,23.6109,4.4,1531359283260.0,143.7539,23.6109,4.4,1531359283260.0,143.7539,23.6109,4.4,1531359283260.0,143.7539,23.6109,4.4,1531359283260.0
101,1531364964920,143.8489,23.5464,5.1,1531364964920,143.8489,23.5464,5.1,1531364964920.0,143.8489,23.5464,5.1,1531364964920.0,143.8489,23.5464,5.1,1531364964920.0,143.8489,23.5464,5.1,1531364964920.0
102,1532381864320,148.1899,45.1211,5.1,1532381864320,148.1899,45.1211,5.1,1532381864320.0,148.1899,45.1211,5.1,1532381864320.0,148.1899,45.1211,5.1,1532381864320.0,148.1899,45.1211,5.1,1532381864320.0
103,1532441264020,128.5219,25.931,4.5,1532441264020,128.5219,25.931,4.5,1532441264020.0,128.5219,25.931,4.5,1532441264020.0,128.5219,25.931,4.5,1532441264020.0,128.5219,25.931,4.5,1532441264020.0
104,1532471488640,130.8623,32.722,4.4,1532471488640,130.8623,32.722,4.4,1532471488640.0,130.8623,32.722,4.4,1532471488640.0,130.8623,32.722,4.4,1532471488640.0,130.8623,32.722,4.4,1532471488640.0
105,1532492430270,130.4836,25.3772,5.3,1532492430270,130.4836,25.3772,5.3,1532492430270.0,130.4836,25.3772,5.3,1532492430270.0,130.4836,25.3772,5.3,1532492430270.0,130.4836,25.3772,5.3,1532492430270.0
106,1532492791070,130.1038,25.6566,4.4,1532492791070,130.1038,25.6566,4.4,1532492791070.0,130.1038,25.6566,4.4,1532492791070.0,130.1038,25.6566,4.4,1532492791070.0,130.1038,25.6566,4.4,1532492791070.0
107,1532540766320,141.2729,37.5147,4.5,1532540766320,141.2729,37.5147,4.5,1532540766320.0,141.2729,37.5147,4.5,1532540766320.0,141.2729,37.5147,4.5,1532540766320.0,141.2729,37.5147,4.5,1532540766320.0
108,1533458657240,141.9919,41.5086,4.6,1533458657240,141.9919,41.5086,4.6,1533458657240.0,141.9919,41.5086,4.6,1533458657240.0,141.9919,41.5086,4.6,1533458657240.0,141.9919,41.5086,4.6,1533458657240.0
109,1533504622280,122.6741,24.5898,3.9,1533504622280,122.6741,24.5898,3.9,1533504622280.0,122.6741,24.5898,3.9,1533504622280.0,122.6741,24.5898,3.9,1533504622280.0,122.6741,24.5898,3.9,1533504622280.0
110,1533509408080,143.4144,40.2263,4.7,1533509408080,143.4144,40.2263,4.7,1533509408080.0,143.4144,40.2263,4.7,1533509408080.0,143.4144,40.2263,4.7,1533509408080.0,143.4144,40.2263,4.7,1533509408080.0
